31 76.485 2.036 33
34 76.385 1.098 78
35 71.710 1.291 100
36 65.634 0.857 112
37 56.928 1.537 83
38 61.153 0.782 111
39 57.707 0.802 208
40 63.968 0.909 154
41 61.230 0.894 187
42 56.101 1.068 169
43 60.765 0.578 162
44 58.953 1.401 106
45 61.272 1.047 162
46 63.892 0.851 120
47 65.722 0.592 187
48 67.864 0.820 154
49 64.352 0.718 247
50 62.371 0.707 450
51 61.580 0.565 555
54 69.056 0.206 125
55 67.790 0.225 119
56 67.847 0.264 170
57 66.754 0.290 142
58 66.276 0.278 232
59 65.342 0.335 149
60 65.625 0.265 256
61 46.781 0.327 379
62 49.163 0.451 312
63 49.728 0.541 294
64 48.165 0.701 194
65 49.193 0.434 415
66 50.493 0.436 442
67 52.050 0.579 321
68 48.881 0.443 445
69 49.832 0.481 357
70 54.390 0.556 351
71 55.653 0.668 363
74 51.234 1.649 77
75 52.509 1.612 112
76 50.847 1.637 98
77 54.729 1.831 59
78 53.082 1.808 49
79 56.789 1.769 57
80 60.336 1.045 113
81 66.674 1.134 46
87 61.487 3.174 39
89 63.419 1.748 43
